"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","Crear una valoración con puntaje mínimo","","Fri Jul 11 12:38:54 CST 2025","failed","Fri Jul 11 12:38:54 CST 2025","","","",""
"","213","Intentar crear un paciente con identificación duplicada","","Fri Jul 11 12:38:52 CST 2025","passed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","164","Intentar analizar tendencias sin proporcionar patient_id","","Fri Jul 11 12:39:07 CST 2025","passed","Fri Jul 11 12:39:07 CST 2025","","","",""
"","158","Intentar analizar sin proporcionar assessment_id","","Fri Jul 11 12:39:02 CST 2025","passed","Fri Jul 11 12:39:02 CST 2025","","","",""
"","160","Crear una valoración con puntaje máximo","","Fri Jul 11 12:38:53 CST 2025","failed","Fri Jul 11 12:38:54 CST 2025","","","",""
"","162","Intentar analizar una valoración inexistente","","Fri Jul 11 12:39:02 CST 2025","passed","Fri Jul 11 12:39:02 CST 2025","","","",""
"","163","Intentar crear una valoración con respuestas fuera de rango","","Fri Jul 11 12:38:53 CST 2025","passed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","207","Crear un paciente con datos válidos","","Fri Jul 11 12:38:51 CST 2025","passed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","185","Crear un paciente mayor de edad","","Fri Jul 11 12:38:53 CST 2025","passed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","127","Intentar crear un paciente sin nombre","","Fri Jul 11 12:38:52 CST 2025","passed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","163","Intentar crear una valoración con respuestas insuficientes","","Fri Jul 11 12:38:53 CST 2025","failed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","7051","Analizar tendencias con una sola valoración","","Fri Jul 11 12:39:07 CST 2025","failed","Fri Jul 11 12:39:14 CST 2025","","","",""
"","124","Intentar crear un paciente sin apellido","","Fri Jul 11 12:38:52 CST 2025","passed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","175","Crear una valoración PHQ-9 con datos válidos","","Fri Jul 11 12:38:53 CST 2025","failed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","160","Intentar crear una valoración sin paciente_id","","Fri Jul 11 12:38:53 CST 2025","passed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","128","Intentar crear un paciente con fecha de nacimiento inválida","","Fri Jul 11 12:38:52 CST 2025","failed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","8015","Analizar una valoración individual con Gemini AI","","Fri Jul 11 12:38:54 CST 2025","passed","Fri Jul 11 12:39:02 CST 2025","","","",""
"","174","Crear un paciente con nombre y apellido largos","","Fri Jul 11 12:38:52 CST 2025","passed","Fri Jul 11 12:38:53 CST 2025","","","",""
"","123","Intentar crear un paciente sin identificación","","Fri Jul 11 12:38:52 CST 2025","passed","Fri Jul 11 12:38:52 CST 2025","","","",""
"","4792","Analizar tendencias de múltiples valoraciones","","Fri Jul 11 12:39:02 CST 2025","passed","Fri Jul 11 12:39:07 CST 2025","","","",""
"","163","Intentar analizar tendencias de un paciente inexistente","","Fri Jul 11 12:39:07 CST 2025","passed","Fri Jul 11 12:39:07 CST 2025","","","",""
